"PLASTIC_TYPES","Plastic types","TIME","Time","Value","Flag Codes","Flags"
"TOTAL","Total","1990-1-1","1990-1-1",129.887,,
"TOTAL","Total","1991-1-1","1991-1-1",134.87,,
"TOTAL","Total","1992-1-1","1992-1-1",143.569,,
"TOTAL","Total","1993-1-1","1993-1-1",149.685,,
"TOTAL","Total","1994-1-1","1994-1-1",164.447,,
"TOTAL","Total","1995-1-1","1995-1-1",170.917,,
"TOTAL","Total","1996-1-1","1996-1-1",183.44,,
"TOTAL","Total","1997-1-1","1997-1-1",197.228,,
"TOTAL","Total","1998-1-1","1998-1-1",206.397,,
"TOTAL","Total","1999-1-1","1999-1-1",222.145,,
"TOTAL","Total","2000-1-1","2000-1-1",234.008,,
"TOTAL","Total","2001-1-1","2001-1-1",239.907,,
"TOTAL","Total","2002-1-1","2002-1-1",255.48,,
"TOTAL","Total","2003-1-1","2003-1-1",266.323,,
"TOTAL","Total","2004-1-1","2004-1-1",283.508,,
"TOTAL","Total","2005-1-1","2005-1-1",291.788,,
"TOTAL","Total","2006-1-1","2006-1-1",310.465,,
"TOTAL","Total","2007-1-1","2007-1-1",328.116,,
"TOTAL","Total","2008-1-1","2008-1-1",312.909,,
"TOTAL","Total","2009-1-1","2009-1-1",321.169,,
"TOTAL","Total","2010-1-1","2010-1-1",348.88,,
"TOTAL","Total","2011-1-1","2011-1-1",363.27,,
"TOTAL","Total","2012-1-1","2012-1-1",377.301,,
"TOTAL","Total","2013-1-1","2013-1-1",393.737,,
"TOTAL","Total","2014-1-1","2014-1-1",401.032,,
"TOTAL","Total","2015-1-1","2015-1-1",412.751,,
"TOTAL","Total","2016-1-1","2016-1-1",419.97,,
"TOTAL","Total","2017-1-1","2017-1-1",432.184,,
"TOTAL","Total","2018-1-1","2018-1-1",446.2,,
"TOTAL","Total","2019"-1-1,"2019-1-1",459.746,,
"PRIMARY","Primary","1990","1990-1-1",127.972,,
"PRIMARY","Primary","1991","1991",132.687,,
"PRIMARY","Primary","1992","1992",141.039,,
"PRIMARY","Primary","1993","1993",146.833,,
"PRIMARY","Primary","1994","1994",161.078,,
"PRIMARY","Primary","1995","1995",167.172,,
"PRIMARY","Primary","1996","1996",179.16,,
"PRIMARY","Primary","1997","1997",192.348,,
"PRIMARY","Primary","1998","1998",200.999,,
"PRIMARY","Primary","1999","1999",216.024,,
"PRIMARY","Primary","2000","2000",227.233,,
"PRIMARY","Primary","2001","2001",232.627,,
"PRIMARY","Primary","2002","2002",247.372,,
"PRIMARY","Primary","2003","2003",257.502,,
"PRIMARY","Primary","2004","2004",273.726,,
"PRIMARY","Primary","2005","2005",281.32,,
"PRIMARY","Primary","2006","2006",298.902,,
"PRIMARY","Primary","2007","2007",315.447,,
"PRIMARY","Primary","2008","2008",300.402,,
"PRIMARY","Primary","2009","2009",307.896,,
"PRIMARY","Primary","2010","2010",333.993,,
"PRIMARY","Primary","2011","2011",347.281,,
"PRIMARY","Primary","2012","2012",360.19,,
"PRIMARY","Primary","2013","2013",375.356,,
"PRIMARY","Primary","2014","2014",381.778,,
"PRIMARY","Primary","2015","2015",388.2,,
"PRIMARY","Primary","2016","2016",394.616,,
"PRIMARY","Primary","2017","2017",405.678,,
"PRIMARY","Primary","2018","2018",418.399,,
"PRIMARY","Primary","2019","2019",430.642,,
"SECONDARY","Secondary","1990","1990",1.914,,
"SECONDARY","Secondary","1991","1991",2.183,,
"SECONDARY","Secondary","1992","1992",2.53,,
"SECONDARY","Secondary","1993","1993",2.853,,
"SECONDARY","Secondary","1994","1994",3.369,,
"SECONDARY","Secondary","1995","1995",3.745,,
"SECONDARY","Secondary","1996","1996",4.28,,
"SECONDARY","Secondary","1997","1997",4.88,,
"SECONDARY","Secondary","1998","1998",5.398,,
"SECONDARY","Secondary","1999","1999",6.121,,
"SECONDARY","Secondary","2000","2000",6.776,,
"SECONDARY","Secondary","2001","2001",7.281,,
"SECONDARY","Secondary","2002","2002",8.108,,
"SECONDARY","Secondary","2003","2003",8.821,,
"SECONDARY","Secondary","2004","2004",9.781,,
"SECONDARY","Secondary","2005","2005",10.468,,
"SECONDARY","Secondary","2006","2006",11.563,,
"SECONDARY","Secondary","2007","2007",12.669,,
"SECONDARY","Secondary","2008","2008",12.507,,
"SECONDARY","Secondary","2009","2009",13.273,,
"SECONDARY","Secondary","2010","2010",14.888,,
"SECONDARY","Secondary","2011","2011",15.989,,
"SECONDARY","Secondary","2012","2012",17.111,,
"SECONDARY","Secondary","2013","2013",18.381,,
"SECONDARY","Secondary","2014","2014",19.254,,
"SECONDARY","Secondary","2015","2015",24.551,,
"SECONDARY","Secondary","2016","2016",25.354,,
"SECONDARY","Secondary","2017","2017",26.506,,
"SECONDARY","Secondary","2018","2018",27.801,,
"SECONDARY","Secondary","2019","2019",29.104,,
